ORIGID,CountyName,PopulationCensus16,TimeStamp,ConfirmedCovidCases
24,Westmeath,88770,2020/03/20  ,14
25,Wexford,149722,2020/03/20  ,3
26,Wicklow,142425,2020/03/20  ,22
1,Carlow,56932,2020/03/21  ,2
2,Cavan,76176,2020/03/21  ,4
3,Clare,118817,2020/03/21  ,9
4,Cork,542868,2020/03/21  ,105
5,Donegal,159192,2020/03/21  ,8
6,Dublin,1347359,2020/03/21  ,457
7,Galway,258058,2020/03/21  ,31
8,Kerry,147707,2020/03/21  ,12
9,Kildare,222504,2020/03/21  ,24
10,Kilkenny,99232,2020/03/21  ,15
11,Laois,84697,2020/03/21  ,6
12,Leitrim,32044,2020/03/21  ,1
13,Limerick,194899,2020/03/21  ,18
14,Longford,40873,2020/03/21  ,3
15,Louth,128884,2020/03/21  ,14
16,Mayo,130507,2020/03/21  ,6
17,Meath,195044,2020/03/21  ,13
18,Monaghan,61386,2020/03/21  ,2
19,Offaly,77961,2020/03/21  ,10
20,Roscommon,64544,2020/03/21  ,1
21,Sligo,65535,2020/03/21  ,8
22,Tipperary,159553,2020/03/21  ,19
23,Waterford,116176,2020/03/21  ,9
24,Westmeath,88770,2020/03/21  ,19
25,Wexford,149722,2020/03/21  ,4
26,Wicklow,142425,2020/03/21  ,23
1,Carlow,56932,2020/03/22  ,3
2,Cavan,76176,2020/03/22  ,5
3,Clare,118817,2020/03/22  ,11
4,Cork,542868,2020/03/22  ,124
5,Donegal,159192,2020/03/22  ,11
6,Dublin,1347359,2020/03/22  ,519
7,Galway,258058,2020/03/22  ,33
8,Kerry,147707,2020/03/22  ,15
9,Kildare,222504,2020/03/22  ,27
10,Kilkenny,99232,2020/03/22  ,16
11,Laois,84697,2020/03/22  ,8
12,Leitrim,32044,2020/03/22  ,1
13,Limerick,194899,2020/03/22  ,19
14,Longford,40873,2020/03/22  ,4
15,Louth,128884,2020/03/22  ,17
16,Mayo,130507,2020/03/22  ,9
17,Meath,195044,2020/03/22  ,16
18,Monaghan,61386,2020/03/22  ,2
19,Offaly,77961,2020/03/22  ,13
20,Roscommon,64544,2020/03/22  ,1
21,Sligo,65535,2020/03/22  ,8
22,Tipperary,159553,2020/03/22  ,19
23,Waterford,116176,2020/03/22  ,13
24,Westmeath,88770,2020/03/22  ,20
25,Wexford,149722,2020/03/22  ,8
26,Wicklow,142425,2020/03/22  ,29
1,Carlow,56932,2020/03/23  ,3
2,Cavan,76176,2020/03/23  ,5
3,Clare,118817,2020/03/23  ,12
4,Cork,542868,2020/03/23  ,134
5,Donegal,159192,2020/03/23  ,11
6,Dublin,1347359,2020/03/23  ,641
7,Galway,258058,2020/03/23  ,38
8,Kerry,147707,2020/03/23  ,33
9,Kildare,222504,2020/03/23  ,36
10,Kilkenny,99232,2020/03/23  ,16
11,Laois,84697,2020/03/23  ,9
12,Leitrim,32044,2020/03/23  ,3
13,Limerick,194899,2020/03/23  ,19
14,Longford,40873,2020/03/23  ,4
15,Louth,128884,2020/03/23  ,19
16,Mayo,130507,2020/03/23  ,9
17,Meath,195044,2020/03/23  ,24
18,Monaghan,61386,2020/03/23  ,3
19,Offaly,77961,2020/03/23  ,13
20,Roscommon,64544,2020/03/23  ,2
21,Sligo,65535,2020/03/23  ,8
22,Tipperary,159553,2020/03/23  ,19
23,Waterford,116176,2020/03/23  ,16
24,Westmeath,88770,2020/03/23  ,23
25,Wexford,149722,2020/03/23  ,8
26,Wicklow,142425,2020/03/23  ,41
1,Carlow,56932,2020/03/24  ,3
2,Cavan,76176,2020/03/24  ,6
3,Clare,118817,2020/03/24  ,25
4,Cork,542868,2020/03/24  ,155
5,Donegal,159192,2020/03/24  ,12
6,Dublin,1347359,2020/03/24  ,755
7,Galway,258058,2020/03/24  ,43
8,Kerry,147707,2020/03/24  ,38
9,Kildare,222504,2020/03/24  ,41
10,Kilkenny,99232,2020/03/24  ,19
11,Laois,84697,2020/03/24  ,10
12,Leitrim,32044,2020/03/24  ,3
13,Limerick,194899,2020/03/24  ,24
14,Longford,40873,2020/03/24  ,4
15,Louth,128884,2020/03/24  ,21
16,Mayo,130507,2020/03/24  ,14
17,Meath,195044,2020/03/24  ,27
18,Monaghan,61386,2020/03/24  ,3
19,Offaly,77961,2020/03/24  ,16
20,Roscommon,64544,2020/03/24  ,6
21,Sligo,65535,2020/03/24  ,8
22,Tipperary,159553,2020/03/24  ,26
23,Waterford,116176,2020/03/24  ,23
24,Westmeath,88770,2020/03/24  ,27
25,Wexford,149722,2020/03/24  ,9
26,Wicklow,142425,2020/03/24  ,51
1,Carlow,56932,2020/03/25  ,3
